SQ_CANDIDATO;SG_UF;estrato_final;cluster_final_codigo;perfil_patrimonial_final
50001606387;BA;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
50001606388;BA;Ultra-alto patrimônio;ultra_k7_c2;Ultra alto patrimônio - imobiliário financeiro com societário
50001606389;BA;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
50001606390;BA;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
50001606393;BA;Patrimônio intermediário;intermediario_k10_c7;Patrimônio intermediário - imobiliário misto
50001606394;BA;Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro
50001606395;BA;Alto patrimônio;alto_k9_c2;Alto patrimônio - imobiliário financeiro créditos direitos misto
50001606396;BA;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
50001606397;BA;Patrimônio intermediário;intermediario_k10_c7;Patrimônio intermediário - imobiliário misto
50001606398;BA;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
50001606399;BA;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
50001606400;BA;Baixo patrimônio;baixo_k8_c6;Baixo patrimônio - veicular financeiro
50001606401;BA;Patrimônio intermediário;intermediario_k10_c7;Patrimônio intermediário - imobiliário misto
50001606402;BA;Alto patrimônio;alto_k9_c8;Alto patrimônio - imobiliário rural agropecuário financeiro misto mais diversificado
50001606403;BA;Ultra-alto patrimônio;ultra_k7_c3;Ultra alto patrimônio - créditos direitos misto
50001606404;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001606406;BA;Ultra-alto patrimônio;ultra_k7_c2;Ultra alto patrimônio - imobiliário financeiro com societário
50001606407;BA;Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro
50001606408;BA;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
50001606409;BA;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
50001606411;BA;Patrimônio intermediário;intermediario_k10_c8;Patrimônio intermediário - financeiro concentrado
50001606412;BA;Baixo patrimônio;baixo_k8_c7;Baixo patrimônio - dinheiro espécie outros ativos
50001606413;BA;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
50001606414;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001606415;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001606416;BA;Alto patrimônio;alto_k9_c5;Alto patrimônio - financeiro societário
50001606417;BA;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
50001606418;BA;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
50001606419;BA;Patrimônio intermediário;intermediario_k10_c3;Patrimônio intermediário - créditos direitos misto
50001606420;BA;Baixo patrimônio;baixo_k8_c6;Baixo patrimônio - veicular financeiro
50001606421;BA;Alto patrimônio;alto_k9_c5;Alto patrimônio - financeiro societário
50001606422;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001606423;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001606424;BA;Baixo patrimônio;baixo_k8_c6;Baixo patrimônio - veicular financeiro
50001606425;BA;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
50001606426;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001606428;BA;Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro
50001606429;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001606430;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001606431;BA;Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro
50001606432;BA;Patrimônio intermediário;intermediario_k10_c1;Patrimônio intermediário - veicular concentrado
50001606433;BA;Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro
50001606434;BA;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
50001606435;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001606436;BA;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
50001606437;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001606438;BA;Ultra-alto patrimônio;ultra_k7_c0;Ultra alto patrimônio - imobiliário financeiro com rural agropecuário
50001606439;BA;Ultra-alto patrimônio;ultra_k7_c6;Ultra alto patrimônio - imobiliário misto
50001606440;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001606441;BA;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
50001606443;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001607219;BA;Alto patrimônio;alto_k9_c8;Alto patrimônio - imobiliário rural agropecuário financeiro misto mais diversificado
50001607220;BA;Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro
50001607221;BA;Ultra-alto patrimônio;ultra_k7_c2;Ultra alto patrimônio - imobiliário financeiro com societário
50001607222;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001607223;BA;Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro
50001607225;BA;Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro
50001607226;BA;Alto patrimônio;alto_k9_c7;Alto patrimônio - imobiliário societário
50001607228;BA;Alto patrimônio;alto_k9_c7;Alto patrimônio - imobiliário societário
50001607229;BA;Alto patrimônio;alto_k9_c2;Alto patrimônio - imobiliário financeiro créditos direitos misto
50001607230;BA;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
50001607231;BA;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
50001607232;BA;Ultra-alto patrimônio;ultra_k7_c1;Ultra alto patrimônio - rural agropecuário imobiliário
50001607292;BA;Ultra-alto patrimônio;ultra_k7_c5;Ultra alto patrimônio - societário concentrado
50001607294;BA;Alto patrimônio;alto_k9_c2;Alto patrimônio - imobiliário financeiro créditos direitos misto
50001607295;BA;Alto patrimônio;alto_k9_c4;Alto patrimônio - imobiliário rural agropecuário financeiro misto mais concentrado
50001607296;BA;Alto patrimônio;alto_k9_c8;Alto patrimônio - imobiliário rural agropecuário financeiro misto mais diversificado
50001607297;BA;Alto patrimônio;alto_k9_c2;Alto patrimônio - imobiliário financeiro créditos direitos misto
50001607299;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001607300;BA;Patrimônio intermediário;intermediario_k10_c7;Patrimônio intermediário - imobiliário misto
50001607301;BA;Patrimônio intermediário;intermediario_k10_c7;Patrimônio intermediário - imobiliário misto
50001607302;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001607303;BA;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
50001607304;BA;Alto patrimônio;alto_k9_c7;Alto patrimônio - imobiliário societário
50001607305;BA;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
50001607306;BA;Ultra-alto patrimônio;ultra_k7_c0;Ultra alto patrimônio - imobiliário financeiro com rural agropecuário
50001607307;BA;Ultra-alto patrimônio;ultra_k7_c4;Ultra alto patrimônio - imobiliário concentrado
50001607317;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001607320;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001609247;BA;Ultra-alto patrimônio;ultra_k7_c6;Ultra alto patrimônio - imobiliário misto
50001609248;BA;Ultra-alto patrimônio;ultra_k7_c0;Ultra alto patrimônio - imobiliário financeiro com rural agropecuário
50001609335;BA;Alto patrimônio;alto_k9_c4;Alto patrimônio - imobiliário rural agropecuário financeiro misto mais concentrado
50001609336;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001609337;BA;Patrimônio intermediário;intermediario_k10_c7;Patrimônio intermediário - imobiliário misto
50001609339;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001609340;BA;Alto patrimônio;alto_k9_c7;Alto patrimônio - imobiliário societário
50001609343;BA;Baixo patrimônio;baixo_k8_c2;Baixo patrimônio - societário concentrado
50001609344;BA;Alto patrimônio;alto_k9_c2;Alto patrimônio - imobiliário financeiro créditos direitos misto
50001609345;BA;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
50001609346;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001609348;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001609349;BA;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
50001609350;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001609353;BA;Baixo patrimônio;baixo_k8_c1;Baixo patrimônio - imobiliário concentrado
50001609354;BA;Patrimônio intermediário;intermediario_k10_c1;Patrimônio intermediário - veicular concentrado
50001609355;BA;Patrimônio intermediário;intermediario_k10_c8;Patrimônio intermediário - financeiro concentrado
50001609356;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001609358;BA;Patrimônio intermediário;intermediario_k10_c1;Patrimônio intermediário - veicular concentrado
50001609359;BA;Alto patrimônio;alto_k9_c2;Alto patrimônio - imobiliário financeiro créditos direitos misto
50001609360;BA;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
50001609362;BA;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
50001609364;BA;Patrimônio intermediário;intermediario_k10_c9;Patrimônio intermediário - rural agropecuário concentrado
50001609365;BA;Baixo patrimônio;baixo_k8_c2;Baixo patrimônio - societário concentrado
50001609366;BA;Alto patrimônio;alto_k9_c8;Alto patrimônio - imobiliário rural agropecuário financeiro misto mais diversificado
50001609367;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001609369;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001609371;BA;Alto patrimônio;alto_k9_c2;Alto patrimônio - imobiliário financeiro créditos direitos misto
50001609418;BA;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
50001609420;BA;Baixo patrimônio;baixo_k8_c1;Baixo patrimônio - imobiliário concentrado
50001609422;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001609423;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001609425;BA;Baixo patrimônio;baixo_k8_c2;Baixo patrimônio - societário concentrado
50001609427;BA;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
50001609429;BA;Alto patrimônio;alto_k9_c2;Alto patrimônio - imobiliário financeiro créditos direitos misto
50001609430;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001609434;BA;Ultra-alto patrimônio;ultra_k7_c5;Ultra alto patrimônio - societário concentrado
50001609435;BA;Patrimônio intermediário;intermediario_k10_c1;Patrimônio intermediário - veicular concentrado
50001609436;BA;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
50001609437;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001609438;BA;Baixo patrimônio;baixo_k8_c1;Baixo patrimônio - imobiliário concentrado
50001609440;BA;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
50001609441;BA;Patrimônio intermediário;intermediario_k10_c4;Patrimônio intermediário - societário concentrado
50001609442;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001609449;BA;Alto patrimônio;alto_k9_c2;Alto patrimônio - imobiliário financeiro créditos direitos misto
50001609450;BA;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
50001609453;BA;Patrimônio intermediário;intermediario_k10_c1;Patrimônio intermediário - veicular concentrado
50001609454;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001609455;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001609456;BA;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
50001609457;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001609458;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001609459;BA;Patrimônio intermediário;intermediario_k10_c7;Patrimônio intermediário - imobiliário misto
50001609462;BA;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
50001609463;BA;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
50001609464;BA;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
50001609466;BA;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
50001609467;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001609468;BA;Baixo patrimônio;baixo_k8_c5;Baixo patrimônio - créditos direitos financeiro
50001609469;BA;Baixo patrimônio;baixo_k8_c4;Baixo patrimônio - rural agropecuário veicular
50001609472;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001609473;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001609478;BA;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
50001609480;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001609481;BA;Patrimônio intermediário;intermediario_k10_c4;Patrimônio intermediário - societário concentrado
50001610347;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001610350;BA;Baixo patrimônio;baixo_k8_c6;Baixo patrimônio - veicular financeiro
50001610351;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001610353;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001610354;BA;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
50001610355;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001610356;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001610357;BA;Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro
50001610359;BA;Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro
50001610361;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001610362;BA;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
50001610363;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001610364;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001610365;BA;Baixo patrimônio;baixo_k8_c1;Baixo patrimônio - imobiliário concentrado
50001610366;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001610368;BA;Patrimônio intermediário;intermediario_k10_c3;Patrimônio intermediário - créditos direitos misto
50001610369;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001610370;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001610372;BA;Baixo patrimônio;baixo_k8_c6;Baixo patrimônio - veicular financeiro
50001610373;BA;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
50001610374;BA;Baixo patrimônio;baixo_k8_c7;Baixo patrimônio - dinheiro espécie outros ativos
50001610375;BA;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
50001610376;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001610377;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001610378;BA;Patrimônio intermediário;intermediario_k10_c7;Patrimônio intermediário - imobiliário misto
50001610379;BA;Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro
50001610380;BA;Baixo patrimônio;baixo_k8_c6;Baixo patrimônio - veicular financeiro
50001610381;BA;Baixo patrimônio;baixo_k8_c7;Baixo patrimônio - dinheiro espécie outros ativos
50001610382;BA;Baixo patrimônio;baixo_k8_c1;Baixo patrimônio - imobiliário concentrado
50001610383;BA;Baixo patrimônio;baixo_k8_c6;Baixo patrimônio - veicular financeiro
50001610384;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001610386;BA;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
50001610387;BA;Baixo patrimônio;baixo_k8_c1;Baixo patrimônio - imobiliário concentrado
50001610389;BA;Baixo patrimônio;baixo_k8_c1;Baixo patrimônio - imobiliário concentrado
50001610390;BA;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
50001610391;BA;Baixo patrimônio;baixo_k8_c6;Baixo patrimônio - veicular financeiro
50001610392;BA;Baixo patrimônio;baixo_k8_c1;Baixo patrimônio - imobiliário concentrado
50001613555;BA;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
50001613557;BA;Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro
50001613558;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001613559;BA;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
50001613560;BA;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
50001613561;BA;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
50001613562;BA;Baixo patrimônio;baixo_k8_c1;Baixo patrimônio - imobiliário concentrado
50001613564;BA;Ultra-alto patrimônio;ultra_k7_c2;Ultra alto patrimônio - imobiliário financeiro com societário
50001613567;BA;Patrimônio intermediário;intermediario_k10_c1;Patrimônio intermediário - veicular concentrado
50001613568;BA;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
50001613569;BA;Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro
50001613570;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001613571;BA;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
50001613572;BA;Baixo patrimônio;baixo_k8_c7;Baixo patrimônio - dinheiro espécie outros ativos
50001613573;BA;Patrimônio intermediário;intermediario_k10_c1;Patrimônio intermediário - veicular concentrado
50001613574;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001613575;BA;Alto patrimônio;alto_k9_c4;Alto patrimônio - imobiliário rural agropecuário financeiro misto mais concentrado
50001613576;BA;Patrimônio intermediário;intermediario_k10_c8;Patrimônio intermediário - financeiro concentrado
50001613578;BA;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
50001613579;BA;Alto patrimônio;alto_k9_c4;Alto patrimônio - imobiliário rural agropecuário financeiro misto mais concentrado
50001613581;BA;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
